priority,ref_id,target_data,figure_or_table_target,submission_use,status
1,tang_2016_transition_to_meb,"MEB transition heat flux, wall superheat, bubble-collapse/growth frequency",transition boiling curves and microbubble tracking figures,Primary comparison for transition from nucleate boiling to MEB,needs figure-level digitization
1,horiuchi_2019_transient_nucleate_to_meb,Transient MEB onset heat flux and wall superheat,reported transition/onset data and transient boiling curves,Compare event markers and transient heating pathway,needs figure-level digitization
1,horiuchi_2021_spatial_temporal_thermal_fluid,"C-MEB/S-MEB heat flux ranges, wall superheat ranges, sound frequencies","MEB state map, heat-flux ranges, sound-frequency figures",Interpret oscillatory state and frequency definitions,needs range verification
1,ono_2023_acoustic_state_detection_meb,"Acoustic state labels, hydrophone sampling/bandwidth, heat flux range",state-detection and heat-transfer condition tables,Benchmark acoustic-classification context,needs table/figure verification
2,kobayashi_2022_on_homogeneity_of_vapor_bubble,"Boiling sound frequency, vapor-bubble oscillation homogeneity, heat-transfer state",boiling sound and heat-transfer characteristic figures,Separate high-frequency sound/bubble metrics from slow envelope modulation,needs frequency-definition verification
2,tang_2018_sound_emission_subcooled_pool,"Sound spectral peaks, subcooling, heater size, boiling state",sound-emission spectra and boiling-condition tables,Hydrophone/sound comparison for spectral content,needs source-key/name verification and figure digitization
2,zhu_2014_visualized_meb,"Visualized MEB heat flux, subcooling, boiling-sound peak",visualized MEB condition figures and sound result,Mechanistic visualization context,needs figure-level digitization
2,unno_2022_surface_properties_meb_onset,MEB onset wall superheat versus surface condition,onset wall-superheat plots/tables,Surface-condition sensitivity and onset comparison,needs source-specific uncertainty notes
2,unno_2025_reduced_pressure_confined_meb,Reduced-pressure confined-vessel MEB onset pressure and heat-transfer condition,reduced-pressure onset figures/tables,Compare subatmospheric/reduced-pressure relevance,needs figure-level digitization
3,zhao_2025_open_microchannel_meb,Flow MEB heat flux and wall superheat in open microchannels,microchannel boiling curves and durability plots,Context only; different geometry from pool boiling,needs geometry-separated extraction
