paper_id,curve_id,figure_id,wall_superheat_K,heat_flux_W_cm2,digitization_status,recommended_use,notes
horiuchi_2019_transient_nucleate_to_meb,transition_subcooling_20K,Fig. text,19.78,256.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,Reported average wall superheat and heat flux before/near MEB transition.
horiuchi_2019_transient_nucleate_to_meb,transition_subcooling_20K,Fig. text,28.12,282.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,Reported average wall superheat and heat flux before/near MEB transition.
horiuchi_2019_transient_nucleate_to_meb,transition_subcooling_20K,Fig. text,53.42,338.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,Reported average wall superheat and heat flux before/near MEB transition.
horiuchi_2021_spatiotemporal_meb,C_MEB_range_high,C-MEB range,80.0,320.0,reported_range_endpoint,Use as regime envelope only,"Endpoint of reported C-MEB q and wall-superheat range; pair used as range envelope, not exact curve point."
horiuchi_2021_spatiotemporal_meb,C_MEB_range_low,C-MEB range,40.0,220.00000000000003,reported_range_endpoint,Use as regime envelope only,"Endpoint of reported C-MEB q and wall-superheat range; pair used as range envelope, not exact curve point."
horiuchi_2021_spatiotemporal_meb,S_MEB_range_high,S-MEB range,80.0,100.0,reported_range_endpoint,Use as regime envelope only,Reported S-MEB heat-flux oscillation amplitude is about 1 MW/m^2 while wall superheat ranges 50-80 K.
horiuchi_2021_spatiotemporal_meb,S_MEB_range_low,S-MEB range,50.0,100.0,reported_range_endpoint,Use as regime envelope only,Reported S-MEB heat-flux oscillation amplitude is about 1 MW/m^2 while wall superheat ranges 50-80 K.
inada_2016_cavitation_bubble_blow_pit,pool_boiling_MEB_context,Fig. 5 text,100.0,1100.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,"Pool-boiling system heat flux reported at wall superheat 100 K; specialized system, context only for upper MEB capability."
sinha_2021_deep_learning_sound_boiling,plain_copper_chf_context,Fig. 1/2 text,16.0,145.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,"Plain copper/water CHF acoustic-boiling context, not MEB-specific."
tang_2016_transition_to_meb,tracked_microbubble_meb,microbubble tracking case,53.61,559.0,reported_text_or_first_pass_extraction,Use as boiling-curve/onset comparison after source verification,Reported time-averaged wall superheat and heat flux for tracked MEB microbubbles.
